cleaner__getlemmatisation,cleaner__removedigit,mnb__alpha,mnb__fit_prior,mnb__force_alpha,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,0.5,True,True,True,,0.4683333333333333
False,False,0.5,False,False,True,,0.4683333333333333
False,False,0.5,False,True,True,,0.4683333333333333
False,False,0.5,True,False,True,,0.4683333333333333
False,True,1.1,False,False,True,english,0.4666666666666666
False,False,0.7,True,False,True,,0.4666666666666666
False,False,0.7,True,True,True,,0.4666666666666666
False,False,0.7,False,False,True,,0.4666666666666666
False,False,0.7,False,True,True,,0.4666666666666666
False,True,1.1,False,True,True,english,0.4666666666666666
False,True,1.1,True,False,True,english,0.4666666666666666
False,True,1.1,True,True,True,english,0.4666666666666666
False,False,0.5,True,False,False,,0.465
False,False,0.5,False,True,False,,0.465
False,True,0.5,False,False,True,,0.465
False,False,0.5,False,False,False,,0.465
False,True,0.5,False,True,True,,0.465
False,True,0.5,True,False,True,,0.465
False,False,0.5,True,True,False,,0.465
False,True,0.5,True,True,True,,0.465
False,True,0.7,True,False,True,,0.4633333333333334
False,True,0.5,True,False,False,,0.4633333333333334
False,True,0.7,False,False,True,,0.4633333333333334
False,True,0.7,False,True,True,,0.4633333333333334
False,True,0.5,False,False,False,,0.4633333333333334
False,True,0.5,False,True,False,,0.4633333333333334
False,True,0.7,True,True,True,,0.4633333333333334
False,True,0.5,True,True,False,,0.4633333333333334
False,False,1.5,False,False,False,english,0.4633333333333333
False,True,0.7,True,False,True,english,0.4633333333333333
False,False,1.5,True,False,False,english,0.4633333333333333
False,False,1.5,False,True,False,english,0.4633333333333333
False,True,0.5,True,True,False,english,0.4633333333333333
False,True,0.7,False,False,True,english,0.4633333333333333
False,True,1.5,False,False,True,english,0.4633333333333333
False,True,1.3,True,True,True,english,0.4633333333333333
False,True,1.5,False,True,True,english,0.4633333333333333
False,True,0.7,False,True,True,english,0.4633333333333333
False,True,1.5,True,False,True,english,0.4633333333333333
False,True,0.5,True,False,False,english,0.4633333333333333
True,True,0.7,True,True,True,,0.4633333333333333
False,True,1.5,True,True,True,english,0.4633333333333333
False,False,1.5,True,True,False,english,0.4633333333333333
False,True,0.7,True,True,True,english,0.4633333333333333
False,True,0.5,False,False,False,english,0.4633333333333333
False,True,1.3,False,False,True,english,0.4633333333333333
True,True,0.7,False,True,True,,0.4633333333333333
False,True,0.5,False,True,False,english,0.4633333333333333
False,True,1.3,False,True,True,english,0.4633333333333333
False,True,1.3,True,False,True,english,0.4633333333333333
True,True,0.7,False,False,True,,0.4633333333333333
True,True,0.7,True,False,True,,0.4633333333333333
True,False,0.5,False,True,False,,0.46166666666666667
True,False,0.5,False,True,True,english,0.46166666666666667
True,True,0.5,False,False,False,,0.46166666666666667
True,False,0.5,True,False,False,,0.46166666666666667
False,False,1.3,False,True,False,english,0.46166666666666667
False,True,0.9,False,False,True,english,0.46166666666666667
True,False,0.5,True,False,True,english,0.46166666666666667
True,False,0.5,True,True,False,,0.46166666666666667
True,True,0.5,False,True,False,,0.46166666666666667
True,False,0.5,True,True,True,english,0.46166666666666667
True,False,0.5,False,False,True,english,0.46166666666666667
False,False,0.9,True,True,True,,0.46166666666666667
False,True,0.9,False,True,True,english,0.46166666666666667
False,False,0.9,True,False,True,,0.46166666666666667
False,False,1.3,True,False,False,english,0.46166666666666667
False,False,1.3,True,True,False,english,0.46166666666666667
True,True,0.5,True,True,False,,0.46166666666666667
False,True,0.7,True,True,False,english,0.46166666666666667
False,True,0.7,True,False,False,english,0.46166666666666667
False,False,0.9,False,False,True,,0.46166666666666667
False,True,0.7,False,True,False,english,0.46166666666666667
False,False,0.9,False,True,True,,0.46166666666666667
False,True,0.7,False,False,False,english,0.46166666666666667
True,True,0.5,True,False,False,,0.46166666666666667
False,True,0.9,True,True,True,english,0.46166666666666667
False,True,0.9,True,False,True,english,0.46166666666666667
True,False,0.5,False,False,False,,0.46166666666666667
False,False,1.3,False,False,False,english,0.46166666666666667
False,True,0.9,False,False,False,english,0.45999999999999996
False,True,0.9,True,False,False,english,0.45999999999999996
True,True,0.5,True,False,True,,0.45999999999999996
True,False,0.7,False,True,True,,0.45999999999999996
False,True,0.9,True,True,False,english,0.45999999999999996
True,False,0.7,True,False,True,,0.45999999999999996
True,False,0.7,True,True,True,,0.45999999999999996
False,False,1.5,False,False,True,english,0.45999999999999996
False,True,0.9,False,True,False,english,0.45999999999999996
True,False,0.7,False,False,True,,0.45999999999999996
False,False,1.5,False,True,True,english,0.45999999999999996
True,True,0.9,False,False,False,english,0.45999999999999996
True,True,0.9,False,True,False,english,0.45999999999999996
False,False,0.7,False,False,False,,0.45999999999999996
True,True,0.9,True,True,False,english,0.45999999999999996
False,False,0.7,False,True,False,,0.45999999999999996
False,False,0.7,True,False,False,,0.45999999999999996
False,False,0.7,True,True,False,,0.45999999999999996
False,False,1.5,True,True,True,english,0.45999999999999996
