cleaner__getlemmatisation,cleaner__removedigit,svm__C,svm__gamma,svm__kernel,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,10.0,1.0,rbf,True,,0.4716666666666667
True,False,10.0,1.0,rbf,False,,0.4683333333333333
False,False,10.0,0.1,sigmoid,True,,0.465
False,False,1.0,0.01,linear,True,,0.465
True,True,10.0,0.1,rbf,False,,0.465
False,False,1.0,0.001,linear,True,,0.465
True,False,10.0,0.1,rbf,False,english,0.465
True,True,10.0,1.0,rbf,False,,0.465
False,False,1.0,0.1,linear,True,,0.465
False,True,10.0,1.0,rbf,False,,0.465
False,False,1.0,1.0,linear,True,,0.465
True,True,10.0,0.001,linear,False,,0.4633333333333334
True,True,10.0,0.1,linear,False,,0.4633333333333334
True,True,10.0,1.0,linear,False,,0.4633333333333334
True,True,10.0,0.01,linear,False,,0.4633333333333334
True,False,1.0,0.01,linear,False,,0.4633333333333333
True,False,10.0,0.1,sigmoid,False,,0.4633333333333333
True,False,1.0,0.1,linear,False,,0.4633333333333333
True,False,1.0,0.001,linear,False,,0.4633333333333333
True,False,1.0,1.0,linear,False,,0.4633333333333333
True,True,10.0,0.1,rbf,False,english,0.4633333333333333
True,True,10.0,1.0,rbf,True,,0.46166666666666667
True,True,10.0,0.1,linear,False,english,0.46166666666666667
True,True,10.0,0.01,linear,False,english,0.46166666666666667
True,True,10.0,1.0,linear,False,english,0.46166666666666667
False,True,10.0,1.0,rbf,True,,0.46166666666666667
True,True,10.0,0.001,linear,False,english,0.46166666666666667
True,False,10.0,0.1,rbf,False,,0.46
False,False,10.0,0.1,rbf,False,,0.45999999999999996
True,False,10.0,0.1,linear,False,,0.45999999999999996
True,False,10.0,0.001,linear,False,,0.45999999999999996
True,False,10.0,1.0,linear,False,,0.45999999999999996
True,False,10.0,0.01,linear,False,,0.45999999999999996
True,False,10.0,1.0,rbf,True,,0.45999999999999996
False,True,10.0,0.1,rbf,False,,0.4583333333333333
True,False,10.0,0.001,linear,False,english,0.4583333333333333
