cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,1.0,l2,liblinear,True,english,0.5357142857142857
False,False,1.0,l2,newton-cg,True,english,0.5357142857142857
False,False,1.0,l2,liblinear,True,,0.5357142857142857
False,False,1.0,l2,lbfgs,True,,0.5357142857142857
False,False,1.0,l2,lbfgs,False,english,0.5345238095238095
True,True,100.0,l2,lbfgs,False,,0.5345238095238095
False,False,1.0,l2,newton-cg,False,english,0.5345238095238095
False,False,1.0,l2,liblinear,False,english,0.5345238095238095
True,True,100.0,l2,newton-cg,False,,0.5345238095238095
False,False,1.0,l2,newton-cg,True,,0.5345238095238095
False,True,1.0,l2,liblinear,False,english,0.5321428571428571
False,True,1.0,l2,lbfgs,False,english,0.5321428571428571
False,True,1.0,l2,newton-cg,False,english,0.5321428571428571
False,True,1.0,l2,liblinear,True,,0.5285714285714286
True,True,1.0,l2,lbfgs,False,english,0.5273809523809524
True,True,10.0,l2,liblinear,False,,0.5273809523809524
False,True,1.0,l2,newton-cg,True,,0.5273809523809524
True,True,1.0,l2,newton-cg,False,english,0.5273809523809524
True,True,1.0,l2,liblinear,False,english,0.5273809523809524
False,True,1.0,l2,lbfgs,True,,0.5273809523809524
True,True,1.0,l2,lbfgs,True,english,0.5261904761904762
True,True,10.0,l2,newton-cg,False,,0.5261904761904762
True,True,1.0,l2,newton-cg,True,english,0.5261904761904762
True,True,1.0,l2,liblinear,True,english,0.5261904761904762
True,True,10.0,l2,lbfgs,False,,0.5261904761904762
False,True,1.0,l2,newton-cg,False,,0.5238095238095238
False,True,1.0,l2,lbfgs,False,,0.5238095238095238
False,False,1.0,l2,lbfgs,False,,0.5226190476190475
False,False,1.0,l2,liblinear,False,,0.5226190476190475
False,False,1.0,l2,newton-cg,False,,0.5226190476190475
True,False,1.0,l2,liblinear,False,english,0.5202380952380953
True,False,1.0,l2,newton-cg,True,english,0.5190476190476191
True,False,1.0,l2,newton-cg,True,,0.5190476190476191
True,False,1.0,l2,lbfgs,True,english,0.5190476190476191
True,False,1.0,l2,lbfgs,True,,0.5190476190476191
False,True,1.0,l2,liblinear,False,,0.519047619047619
True,False,1.0,l2,newton-cg,False,english,0.5178571428571429
True,False,1.0,l2,lbfgs,False,english,0.5178571428571429
True,False,1.0,l2,liblinear,True,english,0.5178571428571429
True,False,1.0,l2,liblinear,True,,0.5178571428571429
False,True,0.1,l2,newton-cg,False,english,0.5166666666666666
False,True,0.1,l2,lbfgs,False,english,0.5166666666666666
True,True,1.0,l2,liblinear,True,,0.5154761904761905
False,True,0.1,l2,liblinear,False,english,0.5154761904761904
True,True,1.0,l2,lbfgs,True,,0.5142857142857143
True,True,1.0,l2,newton-cg,True,,0.5142857142857143
True,True,1.0,l2,lbfgs,False,,0.5142857142857142
True,True,1.0,l2,liblinear,False,,0.5142857142857142
True,True,1.0,l2,newton-cg,False,,0.5142857142857142
False,True,0.1,l2,liblinear,True,english,0.511904761904762
False,True,0.01,l2,newton-cg,False,english,0.5107142857142857
False,True,0.01,l2,lbfgs,False,english,0.5107142857142857
False,True,0.1,l2,lbfgs,True,english,0.5095238095238095
False,True,0.1,l2,newton-cg,True,english,0.5095238095238095
False,False,0.1,l2,lbfgs,False,english,0.5083333333333333
False,False,0.1,l2,newton-cg,False,english,0.5083333333333333
False,False,0.1,l2,liblinear,False,english,0.5083333333333333
False,True,0.01,l2,liblinear,True,english,0.5071428571428571
True,False,1.0,l2,lbfgs,False,,0.5059523809523809
True,False,1.0,l2,newton-cg,False,,0.5059523809523809
False,False,0.01,l2,liblinear,False,english,0.5059523809523809
True,False,1.0,l2,liblinear,False,,0.5059523809523809
False,False,0.1,l2,newton-cg,True,english,0.5059523809523809
False,False,0.1,l2,lbfgs,True,english,0.5059523809523809
False,False,0.01,l2,liblinear,True,english,0.5047619047619047
False,False,0.01,l2,lbfgs,True,english,0.5047619047619047
False,False,0.01,l2,newton-cg,True,english,0.5047619047619047
False,False,0.1,l2,liblinear,True,english,0.5047619047619047
False,True,0.01,l2,newton-cg,True,english,0.5035714285714286
False,True,0.01,l2,liblinear,False,english,0.5035714285714286
False,True,0.01,l2,lbfgs,True,english,0.5035714285714286
False,False,0.01,l2,lbfgs,False,english,0.5023809523809524
False,False,0.01,l2,newton-cg,False,english,0.5023809523809524
True,True,0.1,l2,newton-cg,True,english,0.5011904761904762
True,True,0.1,l2,lbfgs,True,english,0.5011904761904762
True,True,0.1,l2,liblinear,True,english,0.5011904761904762
True,True,0.1,l2,liblinear,False,english,0.4988095238095238
True,False,0.1,l2,newton-cg,True,english,0.4988095238095238
True,True,0.1,l2,newton-cg,False,english,0.4988095238095238
True,False,0.1,l2,lbfgs,False,english,0.4988095238095238
True,True,0.1,l2,lbfgs,False,english,0.4988095238095238
True,False,0.1,l2,lbfgs,True,english,0.4988095238095238
True,False,0.1,l2,newton-cg,False,english,0.4988095238095238
False,True,0.1,l2,liblinear,False,,0.4988095238095238
True,False,0.1,l2,liblinear,True,english,0.4988095238095238
True,True,0.01,l2,newton-cg,True,english,0.4976190476190476
True,True,0.01,l2,lbfgs,True,english,0.4976190476190476
True,False,0.01,l2,newton-cg,False,english,0.49642857142857144
True,False,0.01,l2,lbfgs,False,english,0.49642857142857144
True,True,0.01,l2,lbfgs,False,english,0.49642857142857144
True,True,0.01,l2,newton-cg,False,english,0.49642857142857144
False,True,0.01,l2,liblinear,True,,0.49642857142857144
False,True,0.1,l2,liblinear,True,,0.49642857142857144
False,True,0.01,l2,liblinear,False,,0.49523809523809526
True,False,0.01,l2,lbfgs,True,english,0.49523809523809526
True,False,0.01,l2,newton-cg,True,english,0.49523809523809526
True,False,0.1,l2,liblinear,False,english,0.4952380952380952
False,False,0.1,l2,newton-cg,False,,0.49404761904761907
False,False,0.1,l2,liblinear,True,,0.49404761904761907
False,False,0.1,l2,lbfgs,False,,0.49404761904761907
False,False,0.1,l2,newton-cg,True,,0.494047619047619
False,False,0.1,l2,lbfgs,True,,0.494047619047619
False,False,0.01,l2,liblinear,False,,0.4928571428571429
False,False,0.01,l2,liblinear,True,,0.4928571428571429
False,True,0.1,l2,lbfgs,True,,0.4928571428571429
False,True,0.1,l2,newton-cg,True,,0.4928571428571429
False,False,0.01,l2,newton-cg,True,,0.4928571428571428
False,False,0.01,l2,lbfgs,True,,0.4928571428571428
False,False,0.1,l2,liblinear,False,,0.4904761904761905
False,True,0.1,l2,lbfgs,False,,0.49047619047619045
False,True,0.1,l2,newton-cg,False,,0.49047619047619045
True,False,0.01,l2,liblinear,True,english,0.4892857142857143
True,True,0.01,l2,liblinear,False,english,0.4892857142857143
True,False,0.01,l2,liblinear,False,english,0.48928571428571427
False,False,0.01,l2,lbfgs,False,,0.48928571428571427
False,False,0.01,l2,newton-cg,False,,0.48928571428571427
True,True,0.01,l2,liblinear,True,,0.48928571428571427
True,False,0.1,l2,newton-cg,False,,0.48809523809523814
True,False,0.01,l2,newton-cg,False,,0.48809523809523814
True,False,0.1,l2,lbfgs,False,,0.48809523809523814
True,True,0.1,l2,lbfgs,True,,0.4880952380952381
True,True,0.1,l2,newton-cg,True,,0.4880952380952381
True,False,0.01,l2,lbfgs,False,,0.48690476190476195
True,True,0.01,l2,liblinear,False,,0.4869047619047619
True,False,0.01,l2,liblinear,True,,0.4869047619047619
True,True,0.1,l2,lbfgs,False,,0.4845238095238096
True,True,0.01,l2,liblinear,True,english,0.4845238095238096
True,True,0.1,l2,newton-cg,False,,0.4845238095238096
False,True,0.01,l2,newton-cg,True,,0.4845238095238095
False,True,0.01,l2,lbfgs,False,,0.4845238095238095
False,True,0.01,l2,lbfgs,True,,0.4845238095238095
False,True,0.01,l2,newton-cg,False,,0.4845238095238095
True,True,0.1,l2,liblinear,True,,0.48333333333333334
True,False,0.1,l2,lbfgs,True,,0.48214285714285715
True,False,0.01,l2,liblinear,False,,0.48214285714285715
True,False,0.1,l2,newton-cg,True,,0.48214285714285715
True,True,0.1,l2,liblinear,False,,0.4797619047619048
True,False,0.1,l2,liblinear,True,,0.4785714285714286
True,False,0.1,l2,liblinear,False,,0.4785714285714286
True,False,0.01,l2,newton-cg,True,,0.4785714285714286
True,False,0.01,l2,lbfgs,True,,0.4785714285714286
True,True,0.01,l2,newton-cg,True,,0.4773809523809524
True,True,0.01,l2,lbfgs,True,,0.4773809523809524
True,True,0.01,l2,newton-cg,False,,0.4761904761904762
True,True,0.01,l2,lbfgs,False,,0.4761904761904762
