cleaner__getlemmatisation,cleaner__removedigit,lr__C,lr__penalty,lr__solver,tfidf__lowercase,tfidf__stop_words,accuracy
True,True,100.0,l2,liblinear,True,english,0.753055450660241
True,True,100.0,l2,lbfgs,True,english,0.753055450660241
False,True,1.0,l2,newton-cg,False,english,0.7450744157330984
False,True,1.0,l2,lbfgs,False,english,0.7450744157330984
False,True,1.0,l2,liblinear,False,english,0.7420744097390805
False,False,1.0,l2,newton-cg,False,english,0.7390833947720176
False,False,1.0,l2,lbfgs,False,english,0.7390833947720176
False,False,1.0,l2,liblinear,False,english,0.7380853907800016
False,True,1.0,l2,liblinear,False,,0.7340574107041173
True,True,1.0,l2,lbfgs,False,english,0.7320763877650105
True,True,1.0,l2,newton-cg,False,english,0.7320763877650105
True,True,1.0,l2,liblinear,False,english,0.7320733907560255
True,False,1.0,l2,liblinear,False,english,0.7310813807819795
True,True,1.0,l2,liblinear,False,,0.7310663957370545
True,False,1.0,l2,newton-cg,False,english,0.7300773827719936
True,False,1.0,l2,lbfgs,False,english,0.7300773827719936
False,True,1.0,l2,lbfgs,False,,0.7300623977270684
False,True,1.0,l2,newton-cg,False,,0.7300623977270684
False,True,1.0,l2,liblinear,True,english,0.7280633927340515
True,False,1.0,l2,liblinear,False,,0.7270713827600055
True,True,1.0,l2,liblinear,True,english,0.7270534007060953
True,False,1.0,l2,lbfgs,False,,0.7260793727859597
True,False,1.0,l2,newton-cg,False,,0.7260793727859597
False,False,1.0,l2,liblinear,True,,0.7260703817590045
False,False,1.0,l2,newton-cg,False,,0.7260673847500194
False,False,1.0,l2,lbfgs,False,,0.7260673847500194
False,False,1.0,l2,liblinear,False,,0.7260643877410344
True,False,1.0,l2,liblinear,True,english,0.7260613907320493
True,True,1.0,l2,newton-cg,False,,0.7250693807580036
True,True,1.0,l2,lbfgs,False,,0.7250693807580036
False,True,1.0,l2,newton-cg,True,english,0.7250663837490184
False,True,1.0,l2,lbfgs,True,english,0.7250663837490184
True,False,1.0,l2,lbfgs,True,english,0.7250603897310484
True,False,1.0,l2,newton-cg,True,english,0.7250603897310484
False,True,1.0,l2,liblinear,True,,0.7240653827480176
True,True,1.0,l2,newton-cg,True,english,0.7240533947120773
True,True,1.0,l2,lbfgs,True,english,0.7240533947120773
False,False,1.0,l2,newton-cg,True,english,0.7230673787560015
False,False,1.0,l2,liblinear,True,english,0.7230673787560015
False,False,1.0,l2,lbfgs,True,english,0.7230673787560015
False,False,1.0,l2,newton-cg,True,,0.7210683737629845
False,False,1.0,l2,lbfgs,True,,0.7210683737629845
True,True,1.0,l2,liblinear,True,,0.7200703697709686
False,True,1.0,l2,lbfgs,True,,0.7200673727619836
False,True,1.0,l2,newton-cg,True,,0.7200673727619836
True,True,1.0,l2,lbfgs,True,,0.7190723657789526
True,True,1.0,l2,newton-cg,True,,0.7190723657789526
True,False,1.0,l2,newton-cg,True,,0.7180683677689665
True,False,1.0,l2,lbfgs,True,,0.7180683677689665
True,False,1.0,l2,liblinear,True,,0.7180683677689665
False,True,0.01,l2,liblinear,False,english,0.7030743318168468
False,True,0.1,l2,liblinear,False,english,0.700086313858769
False,False,0.01,l2,liblinear,False,english,0.6990763218308128
False,True,0.1,l2,liblinear,False,,0.6950723178268089
True,True,0.1,l2,liblinear,False,,0.6950723178268089
False,True,0.1,l2,newton-cg,False,english,0.6940892988797179
False,True,0.1,l2,lbfgs,False,english,0.6940892988797179
False,False,0.1,l2,liblinear,False,english,0.6930882978787171
False,False,0.1,l2,liblinear,False,,0.6920693148238058
False,True,0.1,l2,liblinear,True,,0.6920633208058358
False,False,0.1,l2,lbfgs,False,english,0.6900882918846992
False,False,0.1,l2,newton-cg,False,english,0.6900882918846992
True,True,0.01,l2,liblinear,False,english,0.690076303848759
True,False,0.1,l2,liblinear,False,,0.6900643158128187
