cleaner__getlemmatisation,cleaner__removedigit,rfc__max_depth,rfc__min_samples_leaf,rfc__min_samples_split,rfc__n_estimators,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,30,2,15,1200,True,english,0.4380952380952381
False,True,25,2,5,500,True,english,0.43452380952380953
False,True,25,1,5,1200,True,,0.43333333333333335
True,True,30,2,5,500,True,english,0.430952380952381
False,True,30,2,5,1200,True,english,0.42976190476190473
False,True,30,1,10,500,True,english,0.42976190476190473
False,False,30,2,15,500,True,english,0.42738095238095236
True,True,30,2,15,500,True,english,0.4261904761904762
False,False,25,1,5,500,True,english,0.4261904761904762
False,False,25,2,15,1200,True,english,0.425
False,False,30,1,5,500,True,english,0.425
False,True,25,2,10,500,True,english,0.425
False,True,30,1,5,1200,True,,0.4238095238095238
False,False,30,2,5,1200,True,english,0.4238095238095238
False,True,25,1,15,1200,True,,0.42261904761904767
False,True,25,2,5,1200,True,,0.42142857142857143
False,False,30,2,10,500,True,english,0.42142857142857143
False,True,30,1,10,500,True,,0.42142857142857143
False,True,30,1,5,500,True,,0.42142857142857143
True,False,30,2,5,500,True,english,0.42142857142857143
True,False,30,1,5,500,True,english,0.42023809523809524
True,False,25,1,5,500,True,english,0.42023809523809524
False,True,25,2,15,500,True,english,0.42023809523809524
True,True,30,1,10,500,True,english,0.42023809523809524
True,False,25,1,15,500,True,english,0.42023809523809524
False,True,25,1,10,500,True,,0.42023809523809524
True,False,30,2,10,1200,True,english,0.42023809523809524
True,False,30,1,15,500,True,english,0.42023809523809524
True,True,25,1,5,1200,True,english,0.42023809523809524
False,False,25,2,10,1200,True,english,0.41904761904761906
True,True,25,1,10,500,True,english,0.41904761904761906
False,False,30,1,5,1200,True,,0.41904761904761906
False,False,30,2,5,500,True,english,0.41904761904761906
False,False,25,2,5,500,True,english,0.41904761904761906
False,False,25,2,5,1200,True,,0.41904761904761906
True,False,30,2,15,1200,True,english,0.41904761904761906
False,False,30,2,10,1200,True,english,0.41904761904761906
False,True,25,2,15,500,True,,0.41904761904761906
False,True,25,2,15,1200,True,,0.41904761904761906
False,False,30,1,15,1200,True,english,0.41904761904761906
True,True,30,1,10,1200,True,english,0.41785714285714287
True,True,25,1,15,1200,True,english,0.41785714285714287
False,False,25,2,5,1200,True,english,0.41785714285714287
False,False,30,1,5,1200,True,english,0.41785714285714287
False,False,25,1,15,500,True,english,0.41785714285714287
False,False,30,1,10,1200,True,english,0.41785714285714287
False,True,25,2,10,1200,True,english,0.41785714285714287
False,True,30,2,15,1200,True,english,0.4166666666666667
False,False,30,2,15,1200,True,,0.4166666666666667
False,True,30,2,10,1200,True,,0.4166666666666667
False,True,30,2,10,1200,True,english,0.4166666666666667
True,False,25,2,10,500,True,english,0.4166666666666667
True,True,30,2,10,1200,True,english,0.4166666666666667
True,False,25,1,10,500,True,english,0.4166666666666667
False,False,30,1,15,500,True,english,0.4166666666666667
False,True,25,1,5,500,True,,0.4166666666666667
True,False,25,2,5,1200,True,english,0.4154761904761905
False,False,25,1,5,1200,True,,0.4154761904761905
True,False,25,1,5,1200,True,english,0.4154761904761905
True,False,30,1,10,1200,True,english,0.4154761904761905
False,True,30,1,15,1200,True,,0.4154761904761905
False,True,25,1,10,1200,True,english,0.4154761904761905
False,True,30,2,15,500,True,english,0.4154761904761905
False,False,30,1,10,500,True,english,0.4154761904761905
False,True,30,1,10,1200,True,,0.4142857142857143
False,True,30,1,5,1200,True,english,0.4142857142857143
False,True,30,1,5,500,True,english,0.4142857142857143
False,False,25,2,10,500,True,english,0.4142857142857143
False,True,25,2,15,1200,True,english,0.4142857142857143
False,False,25,1,5,1200,True,english,0.4142857142857143
False,False,25,1,15,1200,True,english,0.4142857142857143
False,True,25,1,15,500,True,,0.4142857142857143
False,False,30,1,5,500,True,,0.4142857142857143
True,False,30,2,5,1200,True,english,0.4142857142857143
True,True,25,1,10,500,True,,0.4142857142857143
False,True,30,1,10,1200,True,english,0.4142857142857143
True,True,30,2,10,1200,True,,0.4130952380952381
False,True,25,2,5,1200,True,english,0.4130952380952381
False,True,25,1,15,500,True,english,0.4130952380952381
True,True,25,1,5,500,True,english,0.4130952380952381
False,True,30,2,5,1200,True,,0.4130952380952381
True,True,30,1,5,500,True,english,0.4130952380952381
False,True,30,2,5,500,True,english,0.4130952380952381
False,False,30,2,10,1200,True,,0.4130952380952381
