cleaner__getlemmatisation,cleaner__removedigit,rfc__max_depth,rfc__min_samples_leaf,rfc__min_samples_split,rfc__n_estimators,tfidf__lowercase,tfidf__stop_words,accuracy
False,False,25,1,15,500,False,,0.5166666666666667
True,False,30,2,15,500,True,english,0.5166666666666666
False,False,30,1,5,500,True,english,0.5154761904761905
True,True,25,1,10,500,True,english,0.5142857142857143
False,False,30,2,15,1200,False,english,0.5142857142857142
False,True,30,2,10,1200,False,english,0.5142857142857142
False,True,25,2,10,500,False,,0.5130952380952382
False,True,30,1,10,1200,False,english,0.513095238095238
False,False,30,2,15,500,True,english,0.513095238095238
False,False,30,2,15,500,False,english,0.511904761904762
False,True,25,1,5,500,False,english,0.511904761904762
False,True,30,2,5,1200,True,english,0.5119047619047619
False,False,25,2,10,1200,True,english,0.5107142857142857
False,False,30,2,10,1200,True,english,0.5107142857142857
True,False,30,1,10,500,False,english,0.5107142857142857
True,False,25,2,5,500,False,english,0.5107142857142857
False,False,25,2,15,500,True,english,0.5095238095238095
False,False,30,1,5,1200,False,english,0.5095238095238095
False,True,25,1,15,500,True,english,0.5095238095238095
False,True,25,1,5,1200,True,english,0.5095238095238095
True,True,30,1,10,1200,False,english,0.5095238095238095
False,True,30,1,5,1200,True,english,0.5095238095238095
True,True,30,2,10,1200,True,,0.5095238095238095
True,True,30,2,5,500,True,,0.5095238095238095
False,False,25,1,5,500,False,english,0.5083333333333334
False,False,30,2,5,1200,True,english,0.5083333333333333
True,False,30,2,5,1200,True,english,0.5083333333333333
False,False,30,1,5,1200,True,,0.5083333333333333
False,True,30,2,5,1200,False,,0.5083333333333333
False,False,25,2,10,1200,False,english,0.5071428571428571
False,True,30,1,15,500,False,english,0.5071428571428571
False,True,25,2,15,1200,True,english,0.5071428571428571
True,True,30,2,5,500,False,english,0.5071428571428571
True,False,30,2,10,1200,True,,0.5071428571428571
False,False,30,2,5,1200,False,,0.5071428571428571
False,False,30,1,10,500,False,english,0.5071428571428571
False,True,25,1,10,1200,False,,0.5071428571428571
True,True,25,1,5,1200,True,english,0.5059523809523809
True,True,30,2,5,500,True,english,0.5059523809523809
True,True,30,2,5,1200,False,english,0.5059523809523809
False,False,25,2,5,1200,False,english,0.5059523809523809
True,False,25,1,5,1200,True,,0.5059523809523809
False,False,25,1,5,500,True,english,0.5059523809523809
True,False,25,1,15,1200,False,english,0.5059523809523809
True,True,30,2,10,500,False,english,0.5059523809523809
False,False,30,1,10,1200,True,english,0.5059523809523809
False,False,25,1,5,1200,False,english,0.5059523809523809
True,False,30,2,10,1200,False,,0.5059523809523809
False,True,25,2,15,1200,True,,0.5059523809523809
True,True,25,2,5,1200,True,english,0.5059523809523809
True,False,30,2,10,500,True,,0.5059523809523809
False,True,25,2,15,500,True,,0.5059523809523809
False,True,25,2,10,1200,True,,0.5059523809523809
False,False,30,1,5,1200,True,english,0.5059523809523809
False,True,25,2,10,1200,True,english,0.5059523809523809
True,False,25,1,10,1200,True,,0.5059523809523809
False,True,25,1,5,1200,False,,0.5047619047619047
True,False,30,2,15,1200,True,english,0.5047619047619047
False,True,30,2,15,500,False,english,0.5047619047619047
True,False,30,2,5,1200,False,english,0.5047619047619047
False,False,25,1,15,1200,False,english,0.5047619047619047
True,True,25,1,10,500,False,english,0.5047619047619047
False,True,30,1,15,500,True,english,0.5047619047619047
False,False,25,1,10,500,False,english,0.5047619047619047
False,True,30,1,15,1200,False,english,0.5047619047619047
True,True,30,1,10,500,False,english,0.5047619047619047
False,True,30,2,15,1200,False,,0.5047619047619047
False,False,30,1,15,1200,True,english,0.5047619047619047
True,False,30,1,10,1200,False,english,0.5047619047619047
False,False,30,1,10,1200,True,,0.5047619047619047
True,True,30,2,10,1200,True,english,0.5047619047619047
False,True,25,2,15,500,False,english,0.5047619047619047
True,True,30,2,15,1200,False,,0.5035714285714286
False,True,30,2,15,1200,True,english,0.5035714285714286
False,True,25,2,10,500,True,english,0.5035714285714286
True,False,25,1,15,500,True,english,0.5035714285714286
False,True,30,2,15,500,True,english,0.5035714285714286
True,False,25,1,5,500,False,english,0.5035714285714286
False,True,30,2,10,1200,True,english,0.5035714285714286
False,True,25,2,5,1200,False,,0.5035714285714286
True,False,25,1,15,500,False,,0.5035714285714286
False,True,25,1,10,1200,False,english,0.5035714285714286
False,True,30,1,10,1200,True,english,0.5035714285714286
False,True,30,1,10,500,True,english,0.5035714285714286
True,False,25,2,10,500,False,english,0.5035714285714286
False,False,25,1,5,1200,True,english,0.5035714285714286
